File,BGbase,Color_change,CorrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Inst.started,Inst.stopped,key_resp.keys,key_resp.corr,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
images/pbg_bu_4.png,images/pbg_bu_0.png,154.0,down,0,0,0,4,29.94890149999992,None,a,0,10.888750400015851,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_7.png,images/pbg_bu_0.png,157.0,left,0,1,1,7,,,a,0,2.144935600023018,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_1.png,images/pbg_bu_0.png,151.0,right,0,2,2,1,,,a,0,1.8991125999891665,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_14.png,images/pbg_bu_0.png,164.0,up,0,3,3,14,,,up,1,1.5930238000000827,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_6.png,images/pbg_bu_0.png,156.0,down,0,4,4,6,,,a,0,1.9974667000060435,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_11.png,images/pbg_bu_0.png,161.0,down,0,5,5,11,,,down,1,1.4667891999997664,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_3.png,images/pbg_bu_0.png,153.0,right,0,6,6,3,,,a,0,2.118073799996637,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_2.png,images/pbg_bu_0.png,152.0,right,0,7,7,2,,,a,0,1.94511919998331,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_13.png,images/pbg_bu_0.png,163.0,left,0,8,8,13,,,left,1,1.1872180000063963,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_10.png,images/pbg_bu_0.png,160.0,up,0,9,9,10,,,a,0,1.9854510000150185,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_12.png,images/pbg_bu_0.png,162.0,down,0,10,10,12,,,down,1,1.279784100013785,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_5.png,images/pbg_bu_0.png,155.0,up,0,11,11,5,,,up,1,1.6385478999873158,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_9.png,images/pbg_bu_0.png,159.0,down,0,12,12,9,,,down,1,1.6023998000018764,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_8.png,images/pbg_bu_0.png,158.0,left,0,13,13,8,,,left,1,1.4527866000134964,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_0.png,images/pbg_bu_0.png,150.0,up,0,14,14,0,,,a,0,1.8532818999956362,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_9.png,images/pbg_bu_0.png,159.0,down,1,0,15,9,,,down,1,1.49965839998913,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_10.png,images/pbg_bu_0.png,160.0,up,1,1,16,10,,,up,1,1.4878525999956764,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_12.png,images/pbg_bu_0.png,162.0,down,1,2,17,12,,,down,1,1.2246723999851383,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_4.png,images/pbg_bu_0.png,154.0,down,1,3,18,4,,,a,0,1.7485448000079487,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_11.png,images/pbg_bu_0.png,161.0,down,1,4,19,11,,,down,1,1.4565042000031099,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_1.png,images/pbg_bu_0.png,151.0,right,1,5,20,1,,,up,0,1.7057170000043698,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_6.png,images/pbg_bu_0.png,156.0,down,1,6,21,6,,,down,1,1.5301483999937773,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_14.png,images/pbg_bu_0.png,164.0,up,1,7,22,14,,,up,1,1.5156124000204727,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_8.png,images/pbg_bu_0.png,158.0,left,1,8,23,8,,,left,1,1.440097099984996,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_0.png,images/pbg_bu_0.png,150.0,up,1,9,24,0,,,a,0,2.023056899983203,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_3.png,images/pbg_bu_0.png,153.0,right,1,10,25,3,,,a,0,1.9350546000059694,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_2.png,images/pbg_bu_0.png,152.0,right,1,11,26,2,,,a,0,2.6298993000236806,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_5.png,images/pbg_bu_0.png,155.0,up,1,12,27,5,,,up,1,1.5992140999878757,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_7.png,images/pbg_bu_0.png,157.0,left,1,13,28,7,,,left,1,1.454016000003321,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_13.png,images/pbg_bu_0.png,163.0,left,1,14,29,13,,,left,1,1.445542600005865,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_8.png,images/pbg_bu_0.png,158.0,left,2,0,30,8,,,left,1,1.4149554999894463,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_0.png,images/pbg_bu_0.png,150.0,up,2,1,31,0,,,a,0,1.9561248000245541,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_1.png,images/pbg_bu_0.png,151.0,right,2,2,32,1,,,a,0,3.5262649999931455,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_12.png,images/pbg_bu_0.png,162.0,down,2,3,33,12,,,down,1,1.5138183999806643,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_6.png,images/pbg_bu_0.png,156.0,down,2,4,34,6,,,down,1,1.4601794000191148,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_10.png,images/pbg_bu_0.png,160.0,up,2,5,35,10,,,up,1,1.427025799988769,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_3.png,images/pbg_bu_0.png,153.0,right,2,6,36,3,,,a,0,2.140012599993497,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_5.png,images/pbg_bu_0.png,155.0,up,2,7,37,5,,,up,1,1.5070172999985516,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_11.png,images/pbg_bu_0.png,161.0,down,2,8,38,11,,,down,1,1.423337200016249,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_14.png,images/pbg_bu_0.png,164.0,up,2,9,39,14,,,up,1,1.4013052000082098,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_4.png,images/pbg_bu_0.png,154.0,down,2,10,40,4,,,down,1,1.4813923999899998,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_7.png,images/pbg_bu_0.png,157.0,left,2,11,41,7,,,left,1,1.4239059000101406,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_13.png,images/pbg_bu_0.png,163.0,left,2,12,42,13,,,left,1,1.4313882999995258,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_2.png,images/pbg_bu_0.png,152.0,right,2,13,43,2,,,a,0,1.6733191999956034,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_9.png,images/pbg_bu_0.png,159.0,down,2,14,44,9,,,down,1,1.4586804999853484,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_14.png,images/pbg_bu_0.png,164.0,up,3,0,45,14,,,up,1,1.4336857000016607,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_7.png,images/pbg_bu_0.png,157.0,left,3,1,46,7,,,left,1,1.4883042000001296,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_0.png,images/pbg_bu_0.png,150.0,up,3,2,47,0,,,a,0,1.6243556999834254,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_13.png,images/pbg_bu_0.png,163.0,left,3,3,48,13,,,left,1,1.0617803999921307,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_11.png,images/pbg_bu_0.png,161.0,down,3,4,49,11,,,down,1,1.1291007999971043,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_12.png,images/pbg_bu_0.png,162.0,down,3,5,50,12,,,down,1,1.0283324999909382,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_5.png,images/pbg_bu_0.png,155.0,up,3,6,51,5,,,up,1,1.1857365000178106,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_6.png,images/pbg_bu_0.png,156.0,down,3,7,52,6,,,down,1,1.120628000004217,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_1.png,images/pbg_bu_0.png,151.0,right,3,8,53,1,,,a,0,1.9243494999827817,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_8.png,images/pbg_bu_0.png,158.0,left,3,9,54,8,,,left,1,1.3385903000016697,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_2.png,images/pbg_bu_0.png,152.0,right,3,10,55,2,,,a,0,1.8732191000017338,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_4.png,images/pbg_bu_0.png,154.0,down,3,11,56,4,,,a,0,2.0120420000166632,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_9.png,images/pbg_bu_0.png,159.0,down,3,12,57,9,,,down,1,1.4392449000151828,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_3.png,images/pbg_bu_0.png,153.0,right,3,13,58,3,,,a,0,1.7557356000179425,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_10.png,images/pbg_bu_0.png,160.0,up,3,14,59,10,,,up,1,1.4901944000157528,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_13.png,images/pbg_bu_0.png,163.0,left,4,0,60,13,,,left,1,1.4040655000135303,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_14.png,images/pbg_bu_0.png,164.0,up,4,1,61,14,,,up,1,1.4067807999963406,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_0.png,images/pbg_bu_0.png,150.0,up,4,2,62,0,,,a,0,1.8128797999816015,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_10.png,images/pbg_bu_0.png,160.0,up,4,3,63,10,,,up,1,1.4436683999956585,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_7.png,images/pbg_bu_0.png,157.0,left,4,4,64,7,,,left,1,1.4909933999879286,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_5.png,images/pbg_bu_0.png,155.0,up,4,5,65,5,,,up,1,1.4598847000161186,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_8.png,images/pbg_bu_0.png,158.0,left,4,6,66,8,,,left,1,1.4757564999745227,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_11.png,images/pbg_bu_0.png,161.0,down,4,7,67,11,,,down,1,1.4658804000064265,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_12.png,images/pbg_bu_0.png,162.0,down,4,8,68,12,,,down,1,1.422148699988611,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_4.png,images/pbg_bu_0.png,154.0,down,4,9,69,4,,,down,1,1.4064227999770083,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_1.png,images/pbg_bu_0.png,151.0,right,4,10,70,1,,,a,0,1.4829364999895915,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_3.png,images/pbg_bu_0.png,153.0,right,4,11,71,3,,,right,1,1.4557453999877907,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_9.png,images/pbg_bu_0.png,159.0,down,4,12,72,9,,,down,1,1.3012901000038255,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_6.png,images/pbg_bu_0.png,156.0,down,4,13,73,6,,,down,1,1.419135100004496,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_2.png,images/pbg_bu_0.png,152.0,right,4,14,74,2,,,a,0,1.51173870000639,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_2.png,images/pbg_bu_0.png,152.0,right,5,0,75,2,,,a,0,4.268486600019969,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_7.png,images/pbg_bu_0.png,157.0,left,5,1,76,7,,,left,1,1.2974377000064123,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_11.png,images/pbg_bu_0.png,161.0,down,5,2,77,11,,,down,1,1.2905066000239458,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_10.png,images/pbg_bu_0.png,160.0,up,5,3,78,10,,,up,1,1.3768334000196774,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_0.png,images/pbg_bu_0.png,150.0,up,5,4,79,0,,,a,0,1.7516844999918249,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_1.png,images/pbg_bu_0.png,151.0,right,5,5,80,1,,,a,0,1.8595895000034943,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_4.png,images/pbg_bu_0.png,154.0,down,5,6,81,4,,,down,1,1.344608099985635,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_3.png,images/pbg_bu_0.png,153.0,right,5,7,82,3,,,a,0,2.109273600013694,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_13.png,images/pbg_bu_0.png,163.0,left,5,8,83,13,,,left,1,1.2350669000006747,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_8.png,images/pbg_bu_0.png,158.0,left,5,9,84,8,,,left,1,1.3851947999792174,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_6.png,images/pbg_bu_0.png,156.0,down,5,10,85,6,,,down,1,1.3013142000127118,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_5.png,images/pbg_bu_0.png,155.0,up,5,11,86,5,,,up,1,1.298787400010042,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_9.png,images/pbg_bu_0.png,159.0,down,5,12,87,9,,,down,1,1.235015000012936,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_12.png,images/pbg_bu_0.png,162.0,down,5,13,88,12,,,down,1,1.2380801000108477,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_14.png,images/pbg_bu_0.png,164.0,up,5,14,89,14,,,up,1,1.2389160000020638,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_10.png,images/pbg_bu_0.png,160.0,up,6,0,90,10,,,up,1,1.5881628000061028,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_4.png,images/pbg_bu_0.png,154.0,down,6,1,91,4,,,a,0,3.115320700017037,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_7.png,images/pbg_bu_0.png,157.0,left,6,2,92,7,,,left,1,1.4449937000172213,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_8.png,images/pbg_bu_0.png,158.0,left,6,3,93,8,,,left,1,1.443785499985097,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_6.png,images/pbg_bu_0.png,156.0,down,6,4,94,6,,,down,1,1.477164600015385,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_3.png,images/pbg_bu_0.png,153.0,right,6,5,95,3,,,a,0,3.2112689999921713,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_14.png,images/pbg_bu_0.png,164.0,up,6,6,96,14,,,up,1,1.4260757000010926,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_11.png,images/pbg_bu_0.png,161.0,down,6,7,97,11,,,down,1,1.38600349999615,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
images/pbg_bu_5.png,images/pbg_bu_0.png,155.0,up,6,8,98,5,,,up,1,1.391636299988022,raghav_b,001,2020_Dec_09_1423,hue_diff,2020.2.10,60.016912765542045,
